partno,x,y,z,u,v,w,ph,aspr,fnd,lrl,tngr,u,kn,do,it
12,-0.41434,-5.0758,1.5871,-1.8456,-0.6232,-2.1276,-0.60417,-1.2938,-0.42853,-3.3666,0.01142,-2.2911,-2.9461,-2.2734,-2.2937
13,-0.014106,-6.4571,2.6303,0.27924,-1.8583,1.1428,0.030849,-2.2923,-0.66019,-2.3944,-1.9699,-1.6308,-1.2517,-2.2077,-4.4751
14,1.9088,-3.7505,1.8431,-0.48789,-1.5529,-1.0915,-0.088339,-0.77948,-2.0612,0.31667,-0.065915,-1.137,-2.4274,-3.6318,-1.9067
15,3.1386,-6.1446,-2.3298,1.5191,-1.2288,1.1032,0.6446,-2.2574,-1.7306,-1.442,-0.74482,-0.64043,-1.6296,-4.4094,-1.3415
16,2.1923,-4.9801,-3.0388,0.45753,-0.93022,0.26345,-1.4214,-1.7764,-2.2243,1.1761,-1.7515,-2.0163,-2.5877,-1.415,-2.6074
17,2.6371,-3.085,-1.0577,0.87015,-3.3163,0.14428,0.62058,-0.70343,-0.41518,1.5056,0.31109,-2.9553,-2.5394,-2.4635,-3.2556
18,2.7211,-2.1581,-3.0124,-0.20138,-1.4187,0.59838,0.68891,-1.2097,-1.6426,0.314,-0.22024,-1.3557,1.5459,-2.3251,-2.2886
19,2.8038,-2.0156,-3.6741,1.0929,0.63117,0.0087139,-0.41824,-1.6297,-1.8066,-2.3267,-1.0026,-2.7358,-0.47425,-2.2144,-2.5899
20,4.2209,-3.5685,-3.3803,-0.97229,-1.847,0.1815,0.54011,-1.908,-0.78624,0.83231,-1.8085,-2.8554,-1.7501,-1.7547,-2.6559
21,1.7917,-0.7879,-3.9335,-0.35864,-2.3285,0.35814,-0.33578,-1.4382,-1.9755,-1.1287,-1.8241,-2.9102,-0.47928,-2.6317,-4.3962
22,1.7647,1.0614,-4.9614,1.8635,-1.9904,-0.83038,-1.3868,0.086043,-1.9276,-0.21257,-2.6073,-2.4472,-1.0896,-3.6763,-2.6234
23,2.3201,2.6608,-3.9054,1.0329,-1.5664,-0.6563,-0.2976,-1.9722,-0.22679,0.1453,0.0023174,-0.61567,-1.8586,-2.9756,-2.1506
24,2.336,2.5632,-3.5597,1.5923,-0.9164,1.1266,-0.36579,-0.28904,-2.752,0.9118,-2.7348,-1.6702,-2.0963,-3.5566,-2.3395
25,0.84622,3.8459,-4.1644,0.66367,-0.96657,1.3903,0.77721,-1.066,-1.2218,1.1502,-1.1977,-1.0146,-2.6254,-3.1554,-1.808
26,0.43725,4.1004,-4.5759,1.1038,-1.0341,-0.12456,1.3369,0.3636,-3.5931,-0.27084,-1.8056,-2.1665,-2.3761,-0.76179,-1.4216
27,-0.40608,4.2059,-2.9863,0.76941,-0.94965,-0.25527,0.15693,-1.3788,-1.7308,-0.89443,-1.0394,-1.8511,0.79731,-3.5995,-3.7232
28,-1.4602,3.746,-3.557,0.41196,-0.44166,-1.2301,-0.75683,-2.3512,-1.2458,-0.45762,-0.26374,-2.9357,-1.4279,-2.5071,-1.2456
29,-2.1084,3.3754,-2.344,-0.45176,0.25161,-0.587,-1.9537,-1.2581,-0.17782,0.045637,-0.77649,-0.05274,-2.3027,-2.0904,-3.4934
30,-3.847,3.5013,-0.6908,2.138,-0.38056,-1.1465,-0.54969,-1.6043,-1.6055,0.56669,-0.55692,-0.83433,-1.1001,-3.1267,-1.6733
31,-4.9622,4.3984,0.07106,1.1837,-2.591,-0.27851,-0.32421,-0.94216,-0.427,0.09144,-0.27577,-1.6346,-0.015607,-2.6426,-2.4848
32,-3.7987,3.675,1.5354,-1.2279,0.19917,-0.73429,0.79079,-1.958,-1.9464,1.6286,-0.14289,-1.9555,-1.6742,-0.070612,0.32559
33,-3.1912,4.2334,1.9195,-0.074632,1.0639,2.0599,0.03141,-0.22615,1.0564,-0.49883,-1.4703,-0.08149,0.26859,0.17774,-1.0824
34,-4.2881,1.7871,3.2533,-0.13246,0.6728,0.60001,-0.18567,-1.96,0.38897,0.71612,-0.73407,0.019295,-0.40788,1.7476,0.021078
35,-3.4984,0.61806,2.1805,-1.3587,0.75826,0.60908,-0.81962,2.9141,0.95216,0.42123,1.9397,-2.4097,-0.048198,0.034045,0.26546
36,-4.6003,1.3263,1.197,0.10494,0.47366,-0.038772,0.37446,-0.73277,0.58819,-0.35656,-1.6316,-0.25643,-0.56975,-0.95583,0.58172
37,-3.2353,-0.3594,3.2249,1.6739,1.2114,-0.18661,0.097789,1.5467,1.836,1.1226,-0.29543,-0.52337,0.80705,-0.78775,-0.98609
38,-3.2107,-0.046093,4.136,0.24206,1.1652,0.23722,-1.1267,0.87812,0.52138,-0.067335,-0.38097,-0.48192,0.034453,-0.72042,-0.42282
39,-3.8049,-2.3769,3.3247,0.57474,1.4959,1.0381,1.0588,0.71261,0.5921,0.77126,-0.69744,0.89651,-1.1395,0.69969,-0.74212
40,-2.6566,-3.092,2.5919,0.013155,1.1503,-0.24684,0.50728,0.19732,1.2559,-0.1377,0.32437,2.5291,1.2035,-0.85541,1.2073
41,-1.9092,-3.3007,3.9013,0.86739,-0.3605,0.54021,1.7805,-1.8728,-1.0358,1.2141,-0.26483,0.018734,0.97703,2.2958,-1.2207
42,-1.1525,-3.9248,3.1819,0.10455,-0.28008,1.2217,-0.9001,0.2328,1.0258,0.39204,-0.59648,0.17068,-0.27063,-0.53561,1.4246
43,0.31025,-4.8044,1.8646,0.1193,-1.4692,-1.6445,0.20069,-1.266,-0.37017,0.78928,0.94328,1.5858,-0.97104,0.90948,0.38418
44,2.491,-4.2124,2.7676,1.138,-0.39184,-0.45979,-1.3232,-0.069812,0.37756,-0.7328,0.087772,-0.32564,-0.40299,0.81865,0.8602
45,3.0668,-5.5421,1.0682,0.65422,-1.2812,1.9275,0.23683,-0.53411,1.0465,0.38351,0.11897,-0.66121,-1.7477,-0.93931,-0.61857
46,2.9724,-3.6848,-0.37829,0.82788,0.67156,-0.12524,-0.95002,0.89573,-0.12511,-1.0113,0.25557,0.53,-1.4556,1.8746,-2.1399
47,1.3829,-2.7414,-0.081835,-0.42862,0.0074534,0.73105,-0.86923,0.92447,0.69271,-0.047305,0.18793,-0.63518,-0.8626,-0.39691,1.0194
48,3.1531,-3.9209,-2.1836,-1.1326,0.0098623,1.0395,1.2279,0.54927,-0.32268,-0.37398,0.35592,0.91846,0.95654,-2.1432,-0.07353
49,2.6618,-3.3023,-0.21718,-0.77612,-1.7037,0.17576,-0.13028,-0.43324,0.85734,0.55579,0.36018,-0.30772,0.3214,-0.33063,0.1422
50,4.2924,-1.7372,-3.2934,-0.53512,-1.0668,0.99558,-0.033845,-0.68074,0.64806,-0.52471,0.42488,1.4753,0.89923,-0.21294,-0.17273
51,5.588,-1.4085,-2.8802,0.32829,0.89246,0.21322,0.35679,0.29333,2.653,0.85923,-0.90214,-1.2676,-1.6616,1.776,-0.89042
52,4.4286,0.18592,-5.1387,2.0255,0.51553,1.8178,0.33191,0.14684,-1.0602,0.018476,0.108,-1.578,-0.072016,0.090504,-0.80232
53,3.492,-0.65645,-4.4684,0.10821,-0.64474,0.41926,-0.37439,-0.9094,0.88748,0.57942,0.53996,0.62374,0.95217,0.91243,-0.053832
54,2.1499,1.3268,-2.7801,-1.195,-0.60529,1.0407,0.83406,-0.53194,-0.25233,-0.17707,-0.30779,-2.5066,-0.48639,0.22814,2.3613
55,0.54989,1.6244,-4.3622,-0.9394,-0.71425,-1.9268,-0.12424,-0.55454,0.48994,0.036353,1.0338,1.5581,0.063394,-1.3181,0.15476
56,2.7407,2.8944,-3.385,-0.96358,1.4708,0.40138,-0.43336,-1.7082,-0.73036,-1.0472,-0.52297,0.28736,0.77389,0.079653,-0.0010669
57,0.99204,6.2506,-3.0815,0.14324,1.5431,0.087326,-0.68313,0.90096,-0.39656,0.18403,0.84872,0.75415,-1.6535,-2.4308,-0.77842
58,1.519,4.2927,-3.0677,-0.15378,1.0085,0.32859,0.46714,-2.1169,-0.20706,0.0037498,-0.88354,-0.068894,-0.64518,0.81118,-0.63634
59,0.42693,4.3091,-1.4027,2.2865,0.043435,1.4931,-1.0793,1.8025,-1.2345,-0.07756,-0.34537,-1.1854,-1.3418,0.6001,-1.4409
60,-2.9274,5.5966,-1.5848,0.38083,-0.91748,-0.19783,0.30222,0.15308,1.7701,-0.63248,-0.16275,0.80722,0.92477,-2.0057,-0.42753
61,-2.9074,4.3848,-0.29467,0.44542,1.1327,0.44715,0.31303,0.93825,0.41949,-1.3289,0.10329,-1.6675,1.0988,-2.1242,-0.56804
62,-2.689,4.1155,1.8829,0.055461,-0.61389,0.58702,-1.2067,0.54533,0.25093,-0.39275,-0.62204,-1.1905,-1.8785,-0.42401,0.77724
63,-3.1074,5.8763,0.45011,2.0569,0.48732,0.17469,1.7795,2.2832,0.55489,1.3521,-0.18005,0.12004,2.3647,0.60417,0.46608
64,-2.7604,5.1072,3.3329,-1.5795,1.2247,0.87877,1.3207,2.6176,2.9076,1.474,-0.48391,1.8778,0.33503,3.5825,4.3637
65,-4.8641,3.8573,2.484,-0.56294,0.30555,1.3398,0.73216,0.94447,1.7466,1.6346,0.076796,1.0547,2.4139,3.9495,3.8878
66,-2.9894,0.88924,1.1017,-1.012,2.3305,-0.47236,0.63453,1.2817,-0.86638,1.8758,2.976,1.8202,2.7331,1.6189,3.2476
67,-0.61026,2.6638,3.2428,-1.1054,1.2591,-0.15993,0.28954,2.3446,1.5632,2.2914,0.91235,1.7337,2.535,2.8125,2.4528
68,-4.0354,-0.66591,4.9181,0.45742,-0.25824,0.19723,0.8827,-0.098554,0.34787,1.8233,-0.7955,2.3191,2.7251,0.60223,2.5405
69,-3.2022,-0.35687,4.0831,-1.7371,1.8297,0.67362,-0.26449,1.6064,0.0040814,-0.60446,-0.19359,1.7665,1.2259,4.3089,2.6042
70,-0.92794,-0.72904,4.9182,0.10547,2.4562,-1.0867,1.9893,1.7652,0.19938,1.7407,2.1427,3.5838,1.3304,4.0378,2.9397
71,-2.3211,-2.8595,5.3527,1.7068,0.027748,-0.033773,-0.30306,2.9575,0.45139,1.9614,0.33461,2.6512,0.42462,3.8962,0.47057
72,0.166,-2.3345,3.3198,-1.0524,1.8174,-0.95899,0.32463,-1.7445,-0.73678,0.58362,2.0749,0.22056,2.4234,2.8846,2.0787
73,0.56103,-1.1008,2.3094,0.39449,1.4112,0.39902,0.3457,1.3527,1.0881,-1.0674,0.36942,2.0977,1.9972,2.9852,4.8784
74,-0.31773,-2.9909,3.2849,-0.1232,0.50479,-0.050951,1.0303,1.4925,-0.27263,1.5293,1.1984,3.7487,0.61776,1.6482,0.89266
75,2.0707,-2.8822,2.002,-0.60383,0.89647,-0.08441,1.3714,1.0761,0.84281,1.2543,-0.42091,2.4425,1.5138,4.4962,1.981
76,3.1706,-3.7841,0.65216,0.79134,-1.0428,-1.8705,-0.96389,2.359,2.301,-0.63576,0.75774,1.0887,1.9426,4.4431,1.7364
77,5.2972,-4.2094,0.28367,0.52602,1.8845,0.35493,-1.1241,0.35488,0.43998,0.098902,0.14898,2.2453,2.7091,2.075,3.1493
78,4.6055,-3.2765,-0.15099,-0.62564,0.0040113,-0.19891,0.50042,0.85212,1.5167,0.65334,1.5948,1.1762,1.5672,2.5514,2.2007
79,4.5017,-4.6886,-0.21721,0.37938,1.1578,-0.27885,-0.094446,-0.67317,2.3854,1.2387,-0.16911,0.31691,1.2887,2.9741,3.3915
80,4.9916,-1.5079,0.33105,-1.7862,1.6209,0.019295,-0.41255,1.7416,1.2757,1.799,-0.12198,0.93482,2.0963,1.3907,2.6633
81,4.1424,-0.42508,-1.6553,-0.48842,0.5059,-0.33172,2.7282,0.96915,1.0711,0.39785,2.423,0.039649,2.7656,1.5454,2.2537
82,5.1567,-1.619,-2.2271,-0.15555,-0.25993,0.26511,0.91306,1.6515,0.70134,0.57627,1.5245,2.2965,1.2555,0.98177,2.7871
83,4.5824,1.7056,-4.6372,-0.43499,1.5687,-0.028959,2.3602,0.64258,-1.1013,1.32,-0.50036,3.0711,2.0423,1.9006,1.5247
84,5.7672,1.4209,-3.8552,-0.77537,0.95122,1.3286,2.2413,1.0344,1.6864,0.912,-0.75259,1.8921,1.1363,1.8113,2.3476
85,0.53786,1.2581,-2.7331,0.040391,0.61446,-0.2686,-0.74981,0.30872,0.67485,0.40186,1.4833,1.7288,1.5528,1.4011,3.4743
86,3.0765,3.3811,-3.2288,0.72728,2.6433,-0.35935,0.87286,1.6858,1.2495,2.5001,-0.082895,1.2644,1.7111,2.2636,2.2738
87,1.6912,4.3696,-3.3045,-0.88734,2.8457,0.98457,1.8198,0.98158,3.1765,1.509,-0.91073,0.4884,2.2198,2.1253,2.3574
88,2.5207,5.8547,-2.4944,0.046492,3.3874,0.06197,-0.11857,0.41653,0.52902,0.67287,0.039399,-0.099058,0.35654,2.6849,3.6005
89,1.8982,6.9257,-3.4713,1.2833,1.2233,-0.39481,-0.092923,1.9057,1.9201,-1.2124,1.929,2.5924,1.4124,1.2775,1.7508
90,-1.2854,4.8567,-2.1583,-0.39359,1.3692,-0.22395,-1.3619,0.42298,0.75398,-1.1187,1.7949,-0.38971,2.08,1.9764,2.1701
91,-0.11054,4.7194,-1.2848,-0.95374,2.2809,1.0655,1.0238,1.5594,2.0118,1.2951,1.3091,2.4198,0.95919,2.3149,3.1007
92,-2.1277,4.9567,-0.46878,1.1587,1.6355,1.1688,0.96239,2.0444,1.1997,0.72012,0.2931,2.188,4.754,2.3988,2.5222
93,-1.0966,3.1452,1.6568,-0.93088,1.7388,0.35147,0.2751,0.32523,1.7207,1.7338,1.6104,3.2092,0.30303,2.3368,1.2356
