partno,x,y,z,u,v,w,ph,aspr,fnd,lrl,tngr,u,kn,do,it
24,1.9251,2.2471,-3.8113,0.91805,0.54226,1.1793,-0.68903,0.57427,-2.1521,-0.83067,-3.611,-1.2361,-1.0261,-3.2938,-2.8777
25,0.37464,1.98,-2.9249,-0.78622,0.050029,-0.28663,0.027806,-2.5911,-2.5807,-0.77066,-1.5125,-0.15547,-2.5897,-2.8371,-2.9363
26,1.0782,3.5126,-2.3418,-1.6231,-0.27657,-0.29437,-2.5495,-0.036563,0.18536,-1.7949,-2.4925,-2.3172,-0.81574,-2.7827,-1.8926
27,-2.0041,2.0548,-1.9701,-0.25469,-0.40505,0.28806,-0.83455,-0.1918,-2.4234,-0.58542,-2.9487,-2.1862,-2.4147,-2.0791,-1.0312
28,-0.72036,4.5888,-1.8043,0.35963,-0.10151,-0.61216,-1.331,0.26707,-3.2248,-0.55041,-0.89654,-1.5174,-1.3516,-2.035,-2.0367
29,-2.2959,5.9809,-1.2366,-0.69847,-1.8688,-0.86533,-2.3387,-0.61696,-2.7621,-0.65291,-1.6776,-1.767,-0.28515,-0.82664,-1.1937
30,-1.8534,5.033,-1.511,-0.70269,-1.7966,-0.42835,0.25437,-1.4273,-1.7327,-2.0515,-1.2127,-0.044065,-0.76322,-3.2082,-3.3012
31,-3.0989,3.62,-0.56853,-3.3538,-0.033353,-0.89846,-0.1889,-0.059864,-4.4929,-0.88313,-1.0216,-0.2218,-2.212,-1.6484,-2.338
32,-2.2484,5.7435,-0.098668,2.1051,0.21866,-0.79488,-0.80482,0.1198,0.1475,0.41455,0.83832,0.36952,-1.0127,-0.67659,-0.74277
33,-4.0718,3.5709,1.933,-0.21737,-0.99062,-0.31771,0.60786,-0.12563,1.4589,-0.81126,0.31634,1.1669,-0.83703,-0.029503,-1.1832
34,-4.581,1.0727,1.3718,0.38236,-0.22825,0.59483,1.0434,0.36832,0.80238,0.76531,2.3894,0.77971,-1.4583,0.33429,0.71316
35,-2.7263,2.5382,2.4345,0.046379,0.36029,0.2307,2.0489,-1.5972,0.8898,1.1995,-0.54987,0.5242,-0.046305,-0.98455,0.15872
36,-1.8697,0.45245,4.054,-1.0995,-0.90398,-1.2215,-1.4114,-0.93397,-0.85969,-0.42671,-1.5958,-0.47343,-0.72493,-0.73651,-0.24887
37,-2.0901,-0.057475,4.2073,1.6097,0.70414,0.14875,1.1117,2.2393,-0.47281,0.86534,-0.76129,-1.2115,-0.62217,-0.010498,-1.8866
38,-4.451,-1.0119,4.5916,0.81094,0.45793,-0.1594,0.55713,2.5028,2.0234,-0.041502,1.47,-0.58165,0.40903,0.21108,0.84246
39,-3.5411,-1.1936,4.2011,0.35451,-1.0078,-0.37296,-1.5167,-0.72379,-0.92288,-0.33156,0.22537,0.8873,-1.0102,0.36097,1.1665
40,-0.74332,-4.2009,4.6407,-0.14381,1.4016,0.94929,-0.32229,0.27919,0.55643,-2.4437,-0.55958,-0.35732,-1.0877,-2.1671,0.91757
41,-1.6271,-2.1162,2.6668,0.97627,0.72215,0.57843,-1.0134,-0.16926,-0.42767,-0.94365,-0.39457,-1.5858,-0.10451,-0.13692,-0.75947
42,0.35678,-4.8842,2.9447,0.5453,0.2297,-2.3811,-0.75073,-0.39813,-0.51609,-1.3387,0.0013251,-0.13648,1.3262,0.16554,0.76881
43,0.33332,-6.0513,1.1567,-0.73461,-0.42016,0.5898,-0.81659,-0.62223,0.28652,-0.55027,-1.1918,-0.52838,-0.6419,0.73509,0.2741
44,1.7349,-4.9028,4.0762,0.12161,-0.90972,-1.3136,0.11196,-0.40175,-1.329,-0.46104,-1.6007,0.70153,1.9723,0.77296,-0.28431
45,3.2252,-4.1874,-1.0103,-0.13691,0.084936,0.5684,-0.15606,1.1767,-1.3143,2.4646,1.369,-0.23498,0.30565,-0.85249,-0.90678
46,2.542,-3.3448,1.3343,2.1341,-0.32373,-0.22092,-2.7315,-0.30753,0.15087,0.039563,-0.64196,-1.2834,-0.40506,2.2074,-0.92094
47,2.9678,-5.1627,0.75605,0.78383,0.15823,-0.049627,1.4761,0.57675,-0.0082949,0.13484,1.5333,0.49085,0.2629,0.56175,-0.10669
48,2.3558,-3.1482,-2.831,-0.70187,1.0517,-0.70076,0.2619,-0.21829,0.26336,0.41818,-0.51775,-2.1364,1.0035,-0.57811,0.26083
49,4.5536,-3.9651,-0.7033,0.72865,0.11227,-0.36881,1.1919,0.44089,0.50949,2.6841,0.52736,1.1574,-0.079273,1.7695,-0.13396
50,2.6833,-2.1481,-4.346,1.2408,-1.1977,0.2682,0.89648,0.47618,0.34288,-0.87626,-0.091657,0.90474,-0.80195,-1.2796,-0.75083
51,4.4764,-1.5675,-2.97,-1.7652,-0.7891,-0.71581,-1.2876,1.166,1.0027,-1.5815,0.20543,-0.9967,-0.21233,-0.007644,1.6462
52,3.7879,-1.058,-2.7936,0.85285,0.11961,2.2237,-0.19139,-0.4681,0.50392,-1.3185,-0.46198,-0.57544,1.3136,0.64631,0.53567
53,3.9927,1.4057,-3.876,-1.4408,-1.701,0.017796,1.6369,0.82124,1.0021,1.7763,-0.53953,-0.67176,1.0449,-0.7823,2.1225
54,3.4932,0.75803,-4.4059,0.49613,0.6921,1.1478,0.31257,-1.0248,0.046125,-1.5543,0.52009,0.53272,0.087847,-0.99307,1.1932
55,3.0137,1.5117,-5.3254,0.97875,0.58792,0.015518,0.22824,0.68719,-0.47772,1.536,0.2911,-0.80542,-0.55168,1.4379,-0.72902
56,0.30551,4.1173,-3.467,2.1794,-0.28744,0.6187,-0.045091,0.4228,-1.6339,0.23269,0.71041,-0.042669,-0.41493,-0.037329,-2.1644
57,1.8922,3.9225,-2.8759,0.63282,0.26913,1.4008,-1.1422,-0.083246,1.0442,-0.0299,0.59523,-1.6533,0.29876,1.0262,-2.3081
58,-0.3277,2.7984,-3.9566,0.57415,1.0752,-0.22442,-0.5391,1.7949,-0.12025,0.3675,-0.38866,0.47878,-1.2649,-0.027309,-0.94375
59,-1.0222,5.0463,-0.34723,-0.46677,0.52135,-0.46885,0.073777,2.7768,0.15443,-0.60728,0.97012,0.90231,-1.5553,-0.67861,-0.49377
60,-1.7888,4.5887,-2.1526,0.42327,0.46254,-0.85071,0.3651,-1.1258,0.80632,-0.22098,0.69786,-1.009,0.75863,-0.30286,-0.10422
61,-2.4486,5.0984,0.98995,0.89091,0.025257,-0.75173,0.078526,-0.99965,-0.096835,0.93843,-0.098811,1.1848,-0.51003,0.42397,0.31392
62,-4.1296,3.6674,1.0049,-1.1378,-0.15325,-0.97425,-0.9795,-0.92145,0.82314,0.0065651,0.37413,-0.5552,-0.12464,0.83697,-1.2875
63,-3.6616,4.9746,2.5482,-0.028686,1.1135,-0.57868,1.5455,0.45955,0.51007,1.0944,3.0835,1.1173,1.008,1.0645,1.3503
64,-2.8156,3.7293,0.84966,1.5935,-0.38734,2.1595,-1.2347,0.054596,2.2863,0.60122,1.8789,0.77398,3.8833,1.7352,3.3056
65,-2.1714,2.3543,3.7962,1.288,-0.80587,0.20456,0.75272,0.96808,2.254,1.2892,0.39279,-0.23629,3.274,3.0309,3.034
66,-1.8555,3.7421,2.1951,0.8899,1.1162,0.79937,1.1049,0.52586,2.6351,-2.1538,1.8425,1.0451,1.4688,2.3618,3.1683
67,-3.5555,1.0439,1.8176,-0.2631,0.3144,0.51118,-0.16144,-0.84769,2.1673,0.73199,3.2323,1.8461,0.77917,0.0075935,2.7832
68,-3.2218,0.67602,4.7412,0.65331,0.83835,-0.037956,2.1093,0.38574,1.0259,0.14132,3.6787,1.8119,2.3705,2.5691,3.1055
69,-2.1129,-0.77428,5.7436,0.61537,-0.15282,0.2717,2.0923,1.1159,2.7329,0.38554,2.0142,-0.50841,2.8986,2.1281,2.7112
70,-1.0454,-1.9171,4.5043,0.13721,0.15899,1.2263,0.69789,-1.2312,1.0235,3.5094,2.3566,1.5214,1.5446,0.41684,2.7916
71,-4.5163,-3.3557,2.4946,0.64098,1.7638,1.2,0.46515,-1.2924,1.0268,-0.58626,2.2916,0.71948,3.3686,2.1168,1.1347
72,-0.66683,-2.3968,3.17,1.4702,1.028,1.067,0.58034,0.2058,1.4224,0.46957,0.40241,1.2841,0.75726,2.3574,1.4815
73,1.3495,-2.8405,2.6946,2.9143,1.8259,1.5338,-1.1688,-0.93339,0.84933,0.26842,0.54057,1.9532,1.4187,2.0569,2.0908
74,0.64273,-2.6795,0.8405,-0.11536,0.21268,1.2322,-0.12295,-0.19382,2.2485,-0.63434,2.8919,1.6348,2.5031,2.198,1.6307
75,-0.14326,-4.1156,2.716,1.566,0.59409,2.3222,1.0806,-0.073698,1.6424,-0.02538,2.5225,2.8428,2.9635,2.4499,1.2541
76,1.4962,-3.9013,1.1731,2.2195,1.3371,-0.76347,1.5235,0.99602,3.2792,0.67255,2.0875,-0.29665,1.4521,0.69558,2.452
77,1.9536,-5.4444,0.44497,-0.0087792,1.9399,2.8935,1.0377,0.60767,-0.4392,2.081,1.1895,1.6618,1.6995,2.5193,2.4977
78,3.3631,-4.895,-0.23481,-0.66167,0.55936,0.84454,0.60104,0.64909,2.3946,-1.014,0.34664,0.6432,2.3171,2.5078,2.2126
79,4.1904,-1.2629,-2.2468,-0.024491,-1.1662,0.79147,1.6688,-0.050127,2.5903,0.34484,2.0346,2.2691,2.4651,2.4644,3.9785
80,2.9372,-3.1733,-1.6223,0.45976,0.096064,1.3744,0.36132,0.71456,1.3082,0.13723,2.2377,1.5389,-0.10748,1.7972,1.4585
81,4.0575,-2.6748,-2.6032,2.0661,2.3582,1.4491,-0.73372,1.785,2.5588,0.82347,4.2015,0.78036,3.6501,1.0185,2.1266
82,2.7167,-0.55619,-2.7879,0.15771,-0.75341,-2.0499,-0.093047,-1.1181,2.1382,1.6449,-0.23892,-0.51157,1.3693,3.063,3.7659
83,5.1552,-0.62377,-4.2416,-0.22759,1.2023,1.4103,-0.67251,0.17551,0.9408,1.1677,2.9011,2.4311,2.3294,1.6897,2.0265
84,2.1659,1.8448,-4.7661,-1.143,-0.17715,2.0951,1.1085,-0.052129,1.6731,0.95274,2.1912,1.0486,4.1222,3.1619,0.021547
85,1.9185,1.5351,-3.4943,0.51881,0.60336,0.31851,-0.4615,2.4441,1.2712,2.8884,0.86134,0.97044,0.52714,1.246,3.3981
86,3.0488,1.5222,-3.7991,0.36343,1.4771,-0.12569,2.4109,-1.2359,1.7586,-0.94909,1.0265,0.15242,3.3854,1.9398,2.8227
87,0.19136,2.1767,-3.3977,0.70202,1.3111,1.8018,-0.062846,-0.65559,1.9263,0.44403,1.7679,0.34446,0.89099,2.5525,4.0611
88,0.57104,4.8627,-2.0158,1.8794,2.1688,1.0053,-0.75526,-0.50793,1.3199,-0.88549,1.2358,2.5082,1.0643,2.3147,2.7893
89,2.0205,3.9738,-2.2401,-0.42072,-0.22221,0.97563,1.3867,-0.15508,1.755,-0.10403,2.3412,0.53607,2.1034,2.4725,3.9509
90,-1.6728,4.7447,-3.992,0.94142,1.4424,-0.41493,0.66145,1.5472,3.1433,0.57353,3.2614,1.0859,0.98722,2.0266,0.78767
91,-2.0942,4.0367,-0.17285,1.0417,2.706,1.101,1.2251,0.096683,0.60427,0.74415,1.4094,-0.30582,2.3865,1.9774,2.8064
92,-2.43,5.2867,-1.3703,1.1799,1.334,0.53454,-0.043626,0.561,2.5821,-1.5999,1.9104,1.4002,2.2329,1.7767,2.8981
93,-3.0163,4.6187,1.1891,0.73854,-0.40919,0.56067,1.3164,0.054169,3.1757,0.14064,1.3826,2.8966,2.1935,2.7043,3.9097
